name,category,x_2x,y_2x,width_2x,height_2x,x_1x,y_1x,width_1x,height_1x,padding_2x,file_2x,file_1x
static-base,base,0,0,2400,1350,0,0,1200,675,0,2x/base/static-base.png,1x/base/static-base.png
arthur-hair-back,arthur,625,-6,378,503,312,-3,190,252,64,2x/arthur/arthur-hair-back.png,1x/arthur/arthur-hair-back.png
arthur-hair-loose-01,arthur,775,106,215,313,387,53,108,157,40,2x/arthur/arthur-hair-loose-01.png,1x/arthur/arthur-hair-loose-01.png
arthur-hair-loose-02,arthur,813,271,151,207,406,135,76,104,40,2x/arthur/arthur-hair-loose-02.png,1x/arthur/arthur-hair-loose-02.png
arthur-rune-glow,arthur,382,237,262,1107,191,118,131,554,16,2x/arthur/arthur-rune-glow.png,1x/arthur/arthur-rune-glow.png
sylvie-hair-back,sylvie,1323,294,397,666,661,147,199,333,64,2x/sylvie/sylvie-hair-back.png,1x/sylvie/sylvie-hair-back.png
sylvie-hair-side,sylvie,1782,348,246,320,891,174,123,160,64,2x/sylvie/sylvie-hair-side.png,1x/sylvie/sylvie-hair-side.png
sylvie-hair-loose-01,sylvie,1477,281,152,223,738,140,77,112,40,2x/sylvie/sylvie-hair-loose-01.png,1x/sylvie/sylvie-hair-loose-01.png
sylvie-hair-loose-02,sylvie,1418,424,182,300,709,212,91,150,40,2x/sylvie/sylvie-hair-loose-02.png,1x/sylvie/sylvie-hair-loose-02.png
sylvie-eye-half-patch,sylvie,1803,259,81,56,901,129,41,29,16,2x/sylvie/sylvie-eye-half-patch.png,1x/sylvie/sylvie-eye-half-patch.png
sylvie-eye-closed-patch,sylvie,1804,264,83,56,902,132,42,28,16,2x/sylvie/sylvie-eye-closed-patch.png,1x/sylvie/sylvie-eye-closed-patch.png
sylvie-iris-glow,sylvie,1823,272,47,45,911,136,24,23,16,2x/sylvie/sylvie-iris-glow.png,1x/sylvie/sylvie-iris-glow.png
dust-far,fx,85,23,2316,1264,42,11,1159,633,32,2x/fx/dust-far.png,1x/fx/dust-far.png
dust-mid,fx,148,106,2200,1104,74,53,1100,552,40,2x/fx/dust-mid.png,1x/fx/dust-mid.png
dust-front,fx,85,455,2206,799,42,227,1104,400,48,2x/fx/dust-front.png,1x/fx/dust-front.png
smoke-mana,fx,-48,-48,1019,1446,-24,-24,510,723,48,2x/fx/smoke-mana.png,1x/fx/smoke-mana.png
smoke-aether,fx,1457,-48,991,1446,728,-24,496,723,48,2x/fx/smoke-aether.png,1x/fx/smoke-aether.png
